pair,qx,qy,model_improve,actual_improve
479,2,0,6.301925168372691e-07,3.946115612052381e-08
56,-1,-1,1.2281197996344417e-06,2.869273885153234e-08
154,1,2,-1.6472768038511276e-08,0.0
358,1,0,-1.0489020496606827e-07,0.0
356,-1,0,-2.223096089437604e-07,0.0
76,-1,-1,-4.2997999116778374e-07,0.0
265,0,-1,-4.5139677240513265e-07,0.0
113,0,-1,-7.501803338527679e-07,0.0
505,1,0,-8.235801942646503e-07,0.0
138,-1,0,-9.128125384449959e-07,0.0
400,-1,0,-1.6666308511048555e-06,0.0
572,25,-5,-2.7260539354756474e-06,0.0
230,1,-2,3.989189281128347e-06,-5.202600732445717e-07
523,1,1,3.376611857675016e-06,-6.642367225140333e-07
376,-1,0,3.2626776373945177e-06,-6.896661943756044e-07
483,-1,1,3.7197605706751347e-06,-1.0321964509785175e-06
472,-1,-1,1.4940651453798637e-06,-1.064953721652273e-06
19,3,-1,1.6174672055058181e-06,-1.2451419024728239e-06
493,1,1,2.1549785742536187e-06,-1.2573145795613527e-06
205,-1,2,5.340436473488808e-05,-1.2908712960779667e-06
477,1,-1,1.52470420289319e-06,-1.3825465430272743e-06
444,0,-1,5.077410605736077e-06,-1.38930045068264e-06
283,3,-1,9.501702152192593e-06,-1.429521944373846e-06
419,0,-1,1.803542545530945e-06,-1.5754485502839088e-06
568,-2,-2,4.142901161685586e-06,-1.585809513926506e-06
516,0,-1,1.7695128917694092e-06,-1.6421836335211992e-06
128,1,1,9.63965430855751e-06,-1.6784761101007462e-06
506,1,-1,6.526941433548927e-06,-1.9696017261594534e-06
139,1,-1,1.1093216016888618e-05,-1.9995495676994324e-06
582,-1,-2,6.365113222273067e-06,-2.186214260291308e-06
322,2,0,9.778275853022933e-06,-2.3092434275895357e-06
426,2,2,4.2661791667342186e-05,-2.323184162378311e-06
439,0,-2,3.6811106838285923e-06,-2.4774926714599133e-06
124,-3,0,1.6980338841676712e-05,-2.569984644651413e-06
37,0,-1,2.6008638087660074e-07,-2.8028116503264755e-06
258,0,2,6.239835784072056e-06,-2.9663206078112125e-06
384,-3,1,3.2676398404873908e-06,-3.0033334041945636e-06
308,2,1,2.0005187252536416e-05,-3.270193701609969e-06
137,2,0,6.413814844563603e-05,-3.6996789276599884e-06
26,-3,-2,1.1920892575290054e-06,-3.937673682230525e-06
218,-3,-2,1.0102085070684552e-06,-4.150359018240124e-06
209,2,-2,2.0823790691792965e-06,-4.157613147981465e-06
460,2,1,5.2953691920265555e-06,-4.239380359649658e-06
305,2,-1,1.4491030015051365e-05,-4.451838321983814e-06
346,-11,10,9.547549416311085e-05,-4.563131369650364e-06
331,1,-1,2.473840140737593e-06,-4.8918736865743995e-06
484,-1,1,5.176189006306231e-06,-5.038833478465676e-06
